ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,program_contact_1_TEXT,program_contact_2_TEXT,program_contact_3_TEXT,program_compare,program_agree_students,program_agree_fit,program_sat_staff,program_sat_interact,Q3,Q8,Q10,Q13_4,Q13_5,Q13_6,Q13_7,Q13_999,Q13_8,Q13_9,Q13_10,Q13_997,Q13_998,Q15_4,Q15_5,Q15_6,Q15_7,Q15_11,Q15_8,Q15_9,Q15_10,Q15_12,Q15_13,te_numeric_fail,te_numeric_good,sbs_notes#1_1,sbs_notes#1_2,sbs_notes#1_3,sbs_notes#1_4,sbs_notes#1_5,sbs_notes#1_6,sbs_notes#2_1,sbs_notes#2_2,sbs_notes#2_3,sbs_notes#2_4,sbs_notes#2_5,sbs_notes#2_6,LocationLatitude,LocationLongitude,LocationAccuracy
R_d4LUqR5DgyCPRRP,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,Integer orci quam eleifend morbi orci consequat amet vitae curabitur nonummy pellentesque sit quam.,Malesuada lacus curabitur suscipit! Morbi fermentum natoque lectus rhoncus. Ultrices. Dapibus ridiculus. Orci.,Etiam morbi orci? Donec massa eget auctor mauris blandit id rutrum.,1,1,-1,-1,2,Pretium ab! Auctor? Fringilla atque bibendum phasellus duis nunc dolorem.,2,1,1,1,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,1,2,61,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_1NSDUEe4m2rxwPz,Default Response Set,,2020-04-13 13:17:52,2020-04-13 13:17:52,,,,,1,2,Sit faucibus culpa commodo imperdiet sed ultrices praesent. Ultrices id. Elementum eros neque in. Velit.,"Accumsan pretium nulla consequat? Et ab augue faucibus odio cras integer, dolor commodo.","Wisi dolor viverra? Curabitur tempor, atque fermentum elit aliquam potenti sed.",5,3,2,4,4,"Natoque accumsan est interdum venenatis, convallis enim nullam euismod temporibus, euismod sagittis velit. Auctor.",-1,3,1,-99,-99,-99,-99,-99,1,-99,1,1,1,1,1,1,1,1,1,-99,-99,1,11,92,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_88HYA6iMQ7p77OR,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,Vestibulum sagittis vestibulum sagittis cursus imperdiet nullam imperdiet erat non curabitur consectetuer.,Tellus iaculis donec turpis? Felis! Tempora. Consequat tellus. Urna at.,Pede lectus suspendisse nec dolor maecenas elementum. Pede mauris. Dignissim molestie! Volutpat non laoreet mattis.,4,-1,3,-1,2,"Nullam aliquam aenean leo, est ridiculus! Commodo diam accumsan ab odio.",3,3,1,1,1,1,1,-99,1,1,1,-99,-99,-99,1,1,-99,1,1,1,1,1,99,96,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_42cGpd1CeB2in0p,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,Venenatis eleifend a pharetra etiam sodales risus! Lectus. At? Mattis? Suspendisse. Nulla malesuada eu facilisi.,"Tempus est eu magnis integer, euismod tempor accusamus imperdiet. Temporibus.",Metus neque? Turpis ut metus convallis purus suspendisse. Integer. Vivamus nec praesent.,5,4,3,2,3,Justo commodo platea ac mi dolor vel justo sed. Primis nullam! Sem cras eu rutrum.,2,3,-99,-99,-99,1,-99,-99,-99,1,-99,1,1,1,1,1,1,1,1,1,1,1,41,9,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_0wkot6NooOKu2K9,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,Venenatis sed morbi ut morbi natoque nec mauris dignissim ut.,Ligula aliquet tincidunt augue egestas! Rutrum? Suspendisse? Per eu arcu lectus ligula commodo platea.,Tortor porta rutrum nulla augue. Wisi porttitor mi. Rutrum quam fermentum at fusce! Id interdum.,3,3,4,4,4,Velit dui sem duis sagittis nulla sollicitudin elementum vivamus ullamcorper.,3,3,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,1,1,-99,-99,-99,38,100,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_cAX0CM0aqszaof3,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,"Lorem! Velit aliquet leo quam in? Etiam porttitor suspendisse, accumsan ridiculus fermentum augue nec.",Felis velit. Vehicula aliquam mauris suspendisse culpa est gravida orci faucibus velit vitae ridiculus.,"Lorem ultricies. Dapibus tempora gravida, turpis neque elementum scelerisque nibh.",4,4,3,1,2,Diam mi donec! Tempora urna? At dui sapien donec neque tempor imperdiet.,-1,1,1,1,1,1,1,-99,1,1,1,-99,-99,1,1,1,-99,-99,-99,1,-99,1,100,67,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_enEBPyXnCmPYmgt,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,"Lorem dolorem fermentum, tortor viverra! Sapien at auctor faucibus! Iaculis ridiculus tincidunt massa.",Aenean? Elit nulla elit? Interdum mattis in fermentum non phasellus ultricies tincidunt. Interdum.,"Laoreet ligula donec vulputate luctus, elementum eget, accumsan natoque aliquet accusamus ultrices tincidunt.",3,-1,1,1,2,Pretium iaculis commodo felis vitae ullamcorper enim metus a aliquet vulputate massa. Et.,1,2,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,1,94,31,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_5uoyrArBB1UlBbL,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,Diam leo convallis cursus velit non turpis cras sapien sodales leo nibh in facilisis fringilla.,Sapien? Non purus leo vivamus placerat? Tempora ligula eros posuere.,Risus elit? Volutpat imperdiet dolor sit consequat! Rutrum dolorem montes vestibulum nullam ipsum? Suscipit.,5,3,3,2,1,Dolor morbi molestie eget justo sem culpa! Ultrices facilisis facilisis! Nibh luctus. Tempus laoreet porttitor.,2,1,1,1,1,1,-99,-99,1,1,1,1,1,1,1,-99,1,1,1,1,1,1,41,51,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_efcgEmIMe2ZfJHL,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,Luctus molestie dignissim odio praesent sem eros wisi. Ultricies leo nunc tellus dolor.,Vehicula bibendum eu vel consequat pretium nonummy luctus ligula convallis amet sapien risus! Platea per.,Vel commodo cras quis fringilla tempus blandit proin facilisi purus phasellus.,2,4,-1,-1,3,Duis? Phasellus ipsum? Et tempus aliquam aliquam accumsan egestas malesuada sodales. Odio auctor.,2,1,1,1,1,1,1,1,-99,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,51,44,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_0TU6YyYF5Tp9dzf,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,"Interdum dignissim tempus gravida aenean ac, donec. Viverra at temporibus ullamcorper nibh quis, eleifend etiam.",Euismod. Quis. Volutpat ultrices dapibus. Phasellus commodo arcu faucibus ridiculus.,"Sit fringilla ipsum! Dictumst dui tellus dolorem tincidunt, ligula suspendisse.",2,2,4,2,4,A vivamus scelerisque dapibus elit? Ridiculus laoreet. Vulputate amet laoreet maecenas nullam euismod magna justo.,3,2,-99,-99,1,-99,-99,-99,1,-99,-99,1,1,-99,1,1,1,1,-99,1,1,1,83,78,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_bqlJZ4IPh1AGhRX,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,Fringilla lectus consectetuer pretium egestas! Erat massa suscipit proin sed nunc posuere.,Vel a. Ridiculus faucibus cras porttitor nulla fermentum? Rutrum felis. Tempora curabitur arcu.,"Suspendisse porta quis cursus aliquam venenatis. Convallis scelerisque cursus consequat vel, lorem.",4,1,2,1,4,"Et primis fringilla tempora nec ipsum quam scelerisque auctor suspendisse tempor? Egestas, consequat egestas? Ut.",1,4,1,1,1,1,1,1,1,1,-99,1,1,1,1,1,1,1,1,-99,1,-99,35,79,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_9TWrOyVt45GZQHj,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,"Sodales consectetuer mi sollicitudin, id fusce, ullamcorper euismod fermentum? Urna commodo nibh.","Leo turpis suspendisse lacus eu, augue sodales interdum a fusce maecenas orci platea dolor.","Luctus consectetuer aliquet egestas et mauris! Justo risus eu, dapibus.",4,3,4,1,-1,"Potenti dui pharetra mattis posuere a vivamus justo faucibus turpis, felis volutpat suspendisse lacus.",1,4,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,23,58,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_cYnezuLX2ExDz6d,Default Response Set,,2020-04-13 13:17:53,2020-04-13 13:17:53,,,,,1,2,"Natoque porta rhoncus? Eleifend sollicitudin neque risus, consectetuer tempora. Sodales bibendum molestie lectus enim.",Consequat. Luctus faucibus pharetra. Enim. Eleifend porta? Proin. Iaculis cras consectetuer platea.,Nullam odio amet tellus. Magna luctus mi lacus accumsan venenatis pede suscipit elementum. Per! Vivamus.,3,1,4,2,4,Felis per malesuada ridiculus? Felis eros primis vulputate amet. Nonummy.,2,4,-99,-99,-99,-99,-99,1,1,1,-99,-99,1,1,1,1,1,1,1,1,1,1,8,66,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_2nuyCd29MpbWA0l,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Platea fermentum dignissim fringilla rhoncus velit ut nullam tempor! Venenatis elementum velit diam.,Nunc ligula. In maecenas non. Justo sollicitudin platea blandit gravida phasellus tempus iaculis auctor.,Tempor rutrum fusce nullam blandit orci pharetra est id blandit magnis lacus magna.,5,2,3,1,4,"Eu, euismod vel commodo facilisis! Eget montes sagittis mattis ipsum arcu.",-1,4,1,1,-99,1,1,1,-99,1,1,1,1,1,1,1,1,1,1,1,1,1,72,32,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_2l4BcjviL7kksF7,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Porta suspendisse. Morbi porta sapien. Placerat arcu magna nullam magnis. Convallis primis.,"Platea faucibus malesuada nullam, aliquam mauris? Duis ullamcorper. Proin justo venenatis.","Aliquam. Nullam atque? Auctor vulputate quis sapien et ut, dictumst aliquam mattis tortor placerat.",4,2,4,1,4,"Wisi tincidunt. Tellus duis nibh orci turpis! Proin, lorem pretium pellentesque. Eros.",3,1,1,1,1,-99,-99,1,1,1,1,-99,-99,-99,-99,-99,1,-99,-99,1,-99,1,43,54,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_cviIR0SBiLMdk7H,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Orci vehicula arcu. Praesent a id phasellus dolorem facilisis eu malesuada.,Diam platea tellus consequat quam curabitur. Praesent suscipit mauris vitae.,Scelerisque cras morbi gravida atque purus suspendisse venenatis? Atque diam nulla nulla.,5,-1,4,1,2,"Accumsan, tempus, sed faucibus neque donec vitae natoque a turpis.",1,2,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,1,1,1,-99,-99,1,1,1,-99,99,92,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_7TCvD4qHxJqG5CJ,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,"Sem sed culpa dui? Aliquam? Nullam imperdiet, morbi accumsan risus a.",Enim facilisi magna laoreet urna dignissim porttitor diam temporibus luctus turpis.,"Massa wisi facilisis vel lectus gravida aenean sit urna scelerisque, mattis nibh dolorem nulla.",5,2,2,4,-1,Aenean convallis! Lectus! Fusce dapibus porttitor magna donec amet egestas.,-1,3,1,1,1,1,1,1,1,-99,1,1,-99,-99,-99,1,1,1,1,1,1,1,34,45,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_0HvWR1LYthKmslf,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Placerat tempora blandit justo commodo. Suspendisse sagittis orci! Molestie cursus vel.,"Enim diam, per. Facilisis nulla aliquet? Ante. Imperdiet phasellus rutrum tellus elementum.",Quis. Nibh tempor? Scelerisque ridiculus ultrices non egestas dui nulla tempor etiam? Ut blandit.,2,1,-1,4,3,Pede est pellentesque justo fringilla at atque non facilisis tempora vestibulum natoque enim ridiculus leo.,1,1,-99,-99,-99,1,1,-99,1,-99,1,-99,1,1,1,1,-99,1,-99,1,1,1,74,4,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_byDmE14Je36F0ln,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Fusce tellus. Tempus morbi ut a. Cras wisi dictumst praesent rutrum justo magnis aliquam.,Aenean porta ullamcorper praesent nulla cras vulputate dolor phasellus magna? Placerat natoque.,"Pellentesque tempora, id. Massa elementum! Suscipit orci cras euismod morbi scelerisque. Temporibus platea fringilla maecenas.",3,2,2,2,3,"Suscipit felis morbi metus, posuere augue laoreet dolorem donec ridiculus sapien laoreet ultrices.",3,3,1,1,1,1,1,1,1,1,1,1,-99,-99,1,1,-99,-99,1,-99,1,1,69,65,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_eDI39fpyVToixFz,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Rhoncus diam faucibus erat dui. Sagittis et. Fringilla laoreet. Sodales? Bibendum sed viverra donec rhoncus.,"Erat non accusamus velit vivamus id lacus ligula morbi sagittis laoreet felis vehicula? Nonummy, integer.",Curabitur sem! Rutrum dolor vivamus montes eleifend sollicitudin lacus convallis.,4,2,1,2,4,"Sagittis pellentesque ipsum porta sapien. Nec quis facilisis ridiculus massa gravida vestibulum curabitur elit, in.",3,2,1,1,-99,1,1,-99,1,-99,1,-99,1,-99,1,-99,1,1,-99,-99,-99,1,21,4,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_6GvnPWz5JRzNDLv,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Porta culpa egestas consectetuer nec eros! Vehicula vel iaculis mi amet per primis! Placerat.,Tincidunt molestie tempor maecenas cursus elit et tempora magna venenatis. Culpa.,Id blandit lorem phasellus dictumst natoque ipsum. Mattis odio nec? Leo id suscipit. Rhoncus turpis.,1,3,-1,1,2,"Etiam? Pharetra accusamus! Atque, laoreet sem? Tortor montes euismod porttitor erat massa ipsum! Tortor.",3,3,1,1,1,1,1,1,-99,1,1,1,-99,-99,-99,-99,1,-99,-99,-99,1,-99,51,18,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_9vocAOLz3g9V8vX,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,In? Commodo sollicitudin sit dictumst dictumst fringilla auctor tellus rhoncus eu pharetra magnis purus.,"Integer. Metus ut fermentum ullamcorper pharetra consectetuer, ligula risus felis convallis morbi tempora enim odio.","Justo wisi massa, vestibulum, eget, arcu ultrices dolor risus iaculis quam atque nibh.",2,3,4,4,-1,"Erat sem tincidunt nibh proin, elementum! Temporibus volutpat! Dolorem justo, sit facilisi ligula vivamus justo.",-1,3,1,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,1,1,-99,1,1,-99,-99,-99,73,76,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
R_cvaltEKyhyBnInb,Default Response Set,,2020-04-13 13:17:54,2020-04-13 13:17:54,,,,,1,2,Posuere urna. Elit faucibus iaculis urna laoreet venenatis viverra ante augue.,Orci volutpat! Aliquet fermentum interdum sagittis quis bibendum duis eu vestibulum elementum.,"Maecenas nonummy et fringilla ultricies facilisi tortor, orci? Consequat blandit pellentesque.",5,4,4,1,2,Potenti molestie euismod per fringilla arcu mi primis pede ante pellentesque magnis. Viverra eleifend ut.,3,1,1,-99,1,1,-99,1,1,1,-99,-99,-99,-99,1,1,1,1,-99,1,1,-99,56,41,,,,,,,,,,,,,42.41780090332031,-71.1134033203125,-1
